,county_name,Shape_Leng,SHAPE_Area,physically_unhealthy_days,mentally_unhealthy_days,air_quality_score_rating,food_environment_index,percent_poor_health,life_expectancy,percent_physical_distress,percent_mental_distress,allowable_count
0,ALAMANCE,469534.986553,12115206198.5,4.1133897039,4.0615290111,10.5,7.1,17.954704364,77.463784854,12.789519636,12.991941864000001,0
1,ALEXANDER,383654.655146,7345996918.97,3.9306007266000003,4.0862960785,10.1,8.2,15.920837424,77.146334654,12.042056824000001,12.64790051,0
2,ALLEGHANY,436183.860267,6534257979.84,4.4217645119,4.3936263065,8.7,8.0,18.949304349000002,78.226761154,13.782640492999999,13.974708160999999,0
3,ANSON,575319.072076,14965815718.3,4.5676184097000005,4.3910868782,10.2,6.5,22.774451061,74.183934645,14.535490315999999,14.13761158,8336
4,ASHE,521697.103962,11930770237.0,4.1317649177,4.1031839631,8.5,8.1,15.809505842,78.741459152,12.50539854,12.870771852,0
5,AVERY,429808.999377,6898195954.06,4.0910430318,4.139821632,8.5,8.4,16.647629199999997,77.82964548,12.520442698,12.847703139000002,0
6,BEAUFORT,869782.94322,26718483297.4,4.2656732316,4.2524445756,9.2,7.3,18.956978723,75.882278798,13.260693647,13.621742115999998,2245
7,BERTIE,821702.72538,20665792316.3,4.4885311411,4.2974752446,9.1,6.3,22.609442574000003,76.289400168,14.282390712,13.989007143,6544
8,BLADEN,842332.12465,24748144468.1,4.6067840101,4.4394985992,10.0,6.8,20.764327340999998,75.04963816899999,14.561716769,14.399587875,63180
9,BRUNSWICK,867113.772116,24987879023.4,3.8762823341000003,3.9787653801999996,9.3,7.7,16.415902592000002,78.632808222,11.898415062,12.274530874000002,0
10,BUNCOMBE,783176.809942,18390549247.5,3.8551298972000003,4.1121226304,9.0,7.7,14.473508476,78.596962484,11.622916267999999,12.615815754000002,0
11,BURKE,629541.373317,14304914579.0,4.0934835091,4.129971869599999,10.1,6.9,17.014349433,76.486141551,12.772927420999999,13.171927518,0
12,CABARRUS,438468.114614,10165462414.9,3.4899424936,3.7427972513,11.0,7.8,14.730247494,78.55974336,10.874458745999998,11.607239035,0
13,CALDWELL,539670.255657,13232786405.3,4.1163201824,4.1630504549000005,9.9,6.7,16.668500024,76.019160811,12.664274004000001,13.096168175999999,0
14,CAMDEN,666091.672566,8518732132.86,3.5504459895999996,3.7555797592,8.4,8.5,13.768789332,79.483548169,10.517238172999999,11.377152156,0
15,CARTERET,1031523.57983,28985190684.8,3.9206883043,4.1895301195,8.7,7.8,15.936653387,77.696220114,11.868180103,12.565017092,0
16,CASWELL,436395.133081,11957421743.3,4.1668369043,4.181045524,10.2,7.1,18.900556514,75.925649709,13.088891395,13.205834800999998,0
17,CATAWBA,490103.714376,11536148499.6,3.8813864718,4.0328480751999995,10.5,7.7,15.393386824,76.586628593,11.934368897,12.38122365,0
18,CHATHAM,731769.814849,19762733485.9,3.7780271925999998,3.8790673389999997,10.3,8.4,15.493605698,81.7298371,11.436164395999999,11.988426175999999,0
19,CHEROKEE,612044.822389,13018645188.3,4.2617505625,4.3453741993,9.0,8.0,17.302028834,76.666769456,12.897591137000001,13.456708529,0
20,CHOWAN,436825.398959,6505468400.6,4.5339704975,4.3335928714,8.6,6.2,20.64132206,76.567850262,14.337570204,14.105888647,0
21,CLAY,445321.949299,6156281627.83,4.1935195577,4.3242134677,8.5,8.1,17.070928132,76.354650145,13.002554701,13.536837554000002,0
22,CLEVELAND,515586.753577,13054821218.4,4.2138072623000005,4.3274043058,10.6,7.0,17.910785155,74.353865623,13.239916326,13.76502995,0
23,COLUMBUS,927951.329661,26572423279.9,4.5470207304,4.4240996505000005,9.7,7.1,21.97416485,74.23425866,14.434733140999999,14.284448091,12408
24,CRAVEN,921834.001043,21490814935.6,4.013430578,4.0131570626999995,9.4,7.2,17.038629017,76.356676965,12.243174122000001,12.391632145,4900
25,CUMBERLAND,690352.113095,18347550086.6,4.3401861407,4.3730241156,10.6,6.0,19.498561182,76.33798131100001,13.548234025,13.603953053,0
26,CURRITUCK,651953.268482,12368142399.3,3.5989610136000003,3.8174449159,8.5,8.6,13.642424512,78.00126381,10.750685704,11.639061989000002,0
27,DARE,948169.064091,34809724473.0,3.6573057029,3.8748374343000003,8.2,7.9,14.155566273,78.565328467,11.124542473,11.913193877000001,0
28,DAVIDSON,641442.181717,15821637897.8,4.0603332294,4.1193972537,10.8,7.7,17.422171017,76.356529561,12.585892949000002,12.933393882999999,0
29,DAVIE,476312.511164,7430959110.78,3.7460835673000004,4.0169407504,10.4,8.3,14.894970835999999,78.354536478,11.341530647,12.24523279,0
30,DUPLIN,667153.684941,22839852372.6,4.968570247,4.5923053644,9.9,7.7,26.352486893000002,79.492814377,16.229843045,15.41450113,95914
31,DURHAM,450159.540736,8323854304.72,3.8704940321,3.8291224158999997,10.6,6.9,16.679165742000002,80.290853997,12.010675347000001,12.15033872,0
32,EDGECOMBE,584716.749484,14126588404.0,4.8952619689,4.7198945359,10.2,5.5,24.725769774,73.630186626,15.645356383,15.240411415999999,3840
33,FORSYTH,490267.613211,11487557442.6,3.8374384811,4.2488692844,9.4,6.6,17.061101274000002,77.96507768800001,12.194617147,12.971380219,0
